Total log entries: 50
Steps covered: 10 to 500

step,reward,kl,loss,mean_length
10,0.0445,0.0006,0.0349,46.55
20,0.1458,0.0099,0.0660,36.63
30,0.2895,0.0503,0.0658,32.58
40,0.4841,0.1216,0.0984,33.18
50,0.7074,0.2597,0.1490,26.60
60,0.9434,0.3407,0.0527,19.91
70,0.9606,0.3924,0.0296,19.71
80,0.9697,2.8980,0.1299,21.58
90,0.9480,0.3053,0.0505,23.06
100,0.9513,0.2894,0.0748,22.95
110,0.9745,0.2683,0.0676,22.28
120,0.9798,0.3112,0.0434,23.65
130,0.9567,0.2622,0.1531,26.91
140,0.9527,0.5123,0.0534,22.62
150,0.9504,0.2976,0.0458,22.17
160,0.9381,0.3133,0.1759,26.44
170,0.9715,0.2492,0.0481,24.45
180,0.9369,0.4061,0.0486,23.68
190,0.9437,0.3020,0.0650,23.11
200,0.9391,0.3688,0.0913,22.29
210,0.9312,0.2674,0.1268,24.87
220,0.9398,0.3090,0.1362,24.13
230,0.9407,0.3025,0.1667,27.51
240,0.9522,0.2577,0.0341,24.01
250,0.9437,0.2861,0.1452,24.94
260,0.9484,0.3288,0.1321,24.59
270,0.9605,0.2724,0.0951,27.03
280,0.9494,0.2806,0.0853,24.30
290,0.9429,0.3176,0.0723,23.64
300,0.9572,0.2834,0.0712,23.10
310,0.9525,0.3266,0.0602,24.85
320,0.9464,0.2859,0.1465,25.21
330,0.9519,0.2524,0.1136,24.52
340,0.9311,0.3060,0.0735,25.18
350,0.9373,0.3176,0.0864,25.17
360,0.9428,0.3260,0.0836,23.67
370,0.9578,0.2718,0.0559,22.62
380,0.9327,0.2729,0.1325,26.98
390,0.9489,0.2841,0.0911,28.04
400,0.9530,0.3097,0.0874,24.17
410,0.9672,0.2722,0.0473,21.86
420,0.9619,0.2899,0.0415,23.54
430,0.9652,0.2384,0.0685,23.87
440,0.9364,0.3140,0.1103,24.12
450,0.9541,0.2677,0.0450,24.28
460,0.9475,0.3225,0.0568,25.30
470,0.9555,0.2465,0.0755,25.89
480,0.9361,0.2975,0.0778,24.92
490,0.9641,0.2804,0.0439,23.59
500,0.9575,0.2758,0.0518,22.62
